2010-10-19 14:20:39 Notice: Notice (1024): Please change the value of 'Security.salt' in app/config/core.php to a salt value specific to your application in [/Applications/MAMP/htdocs/onlineschool/cake/libs/debugger.php, line 684]
2010-10-19 14:20:39 Notice: Notice (1024): Please change the value of 'Security.cipherSeed' in app/config/core.php to a numeric (digits only) seed value specific to your application in [/Applications/MAMP/htdocs/onlineschool/cake/libs/debugger.php, line 688]
2010-10-19 14:28:31 Notice: Notice (1024): Please change the value of 'Security.cipherSeed' in app/config/core.php to a numeric (digits only) seed value specific to your application in [/Applications/MAMP/htdocs/onlineschool/cake/libs/debugger.php, line 688]
2010-10-22 12:57:19 Notice: Notice (8): Undefined variable: title_for_layout in [/Applications/MAMP/htdocs/onlineschool/app/views/posts/index.ctp, line 5]
2010-10-22 13:27:55 Notice: Notice (8): Undefined property: HomeController::$Post in [/Applications/MAMP/htdocs/onlineschool/app/controllers/home_controller.php, line 6]
2010-10-22 13:28:15 Notice: Notice (8): Undefined property: HomeController::$Post in [/Applications/MAMP/htdocs/onlineschool/app/controllers/home_controller.php, line 6]
2010-10-22 13:28:16 Notice: Notice (8): Undefined property: HomeController::$Post in [/Applications/MAMP/htdocs/onlineschool/app/controllers/home_controller.php, line 6]
2010-10-22 14:02:04 Notice: Notice (8): Undefined variable: email in [/Applications/MAMP/htdocs/onlineschool/app/controllers/users_controller.php, line 6]
2010-10-22 14:02:40 Notice: Notice (8): Undefined variable: email in [/Applications/MAMP/htdocs/onlineschool/app/controllers/users_controller.php, line 6]
2010-10-22 14:02:42 Notice: Notice (8): Undefined variable: email in [/Applications/MAMP/htdocs/onlineschool/app/controllers/users_controller.php, line 6]
2010-10-22 14:03:19 Notice: Notice (8): Undefined variable: email in [/Applications/MAMP/htdocs/onlineschool/app/controllers/users_controller.php, line 6]
2010-10-22 15:15:57 Notice: Notice (8): Undefined index: id in [/Applications/MAMP/htdocs/onlineschool/cake/libs/model/model.php, line 1329]
2010-10-22 15:16:16 Notice: Notice (8): Undefined index: id in [/Applications/MAMP/htdocs/onlineschool/cake/libs/model/model.php, line 1329]
2010-10-22 15:19:47 Notice: Notice (8): Undefined index: id in [/Applications/MAMP/htdocs/onlineschool/cake/libs/model/model.php, line 1329]
2010-10-22 15:19:54 Notice: Notice (8): Undefined index: id in [/Applications/MAMP/htdocs/onlineschool/cake/libs/model/model.php, line 1329]
2010-10-22 15:20:37 Notice: Notice (8): Undefined index: id in [/Applications/MAMP/htdocs/onlineschool/cake/libs/model/model.php, line 1329]
2010-10-22 16:06:02 Notice: Notice (8): Undefined offset: 0 in [/Applications/MAMP/htdocs/onlineschool/cake/libs/model/model.php, line 1122]
2010-10-22 16:07:32 Notice: Notice (8): Undefined offset: 0 in [/Applications/MAMP/htdocs/onlineschool/cake/libs/model/model.php, line 1122]
2010-10-22 16:07:57 Notice: Notice (8): Undefined offset: 0 in [/Applications/MAMP/htdocs/onlineschool/cake/libs/model/model.php, line 1122]
2010-10-22 16:08:15 Notice: Notice (8): Undefined offset: 0 in [/Applications/MAMP/htdocs/onlineschool/cake/libs/model/model.php, line 1122]
2010-10-22 16:09:08 Notice: Notice (8): Undefined offset: 0 in [/Applications/MAMP/htdocs/onlineschool/cake/libs/model/model.php, line 1122]
2010-10-22 16:10:04 Notice: Notice (8): Undefined variable: user in [/Applications/MAMP/htdocs/onlineschool/app/views/users/view.ctp, line 1]
2010-10-22 16:13:09 Notice: Notice (8): Undefined index: User in [/Applications/MAMP/htdocs/onlineschool/app/views/users/view.ctp, line 1]
2010-10-22 16:32:00 Notice: Notice (8): Undefined index: User in [/Applications/MAMP/htdocs/onlineschool/app/views/users/view.ctp, line 1]
2010-10-22 16:32:35 Notice: Notice (8): Undefined index: Auth in [/Applications/MAMP/htdocs/onlineschool/app/views/users/view.ctp, line 1]
2010-10-22 16:33:18 Notice: Notice (8): Undefined index: User in [/Applications/MAMP/htdocs/onlineschool/app/views/users/view.ctp, line 1]
2010-10-22 16:40:02 Notice: Notice (8): Undefined variable: id in [/Applications/MAMP/htdocs/onlineschool/app/controllers/users_controller.php, line 39]
2010-10-22 16:40:27 Notice: Notice (8): Undefined variable: id in [/Applications/MAMP/htdocs/onlineschool/app/controllers/users_controller.php, line 39]
2010-10-22 17:20:32 Notice: Notice (8): Undefined property: HomeController::$Subeject in [/Applications/MAMP/htdocs/onlineschool/app/controllers/home_controller.php, line 7]
2010-10-23 17:24:52 Notice: Notice (8): Undefined property: View::$Js in [/var/www/onlineschool/app/views/home/index.ctp, line 2]
2010-10-23 17:25:45 Notice: Notice (8): Undefined property: HomeController::$Js in [/var/www/onlineschool/app/controllers/home_controller.php, line 10]
2010-10-23 17:28:35 Notice: Notice (8): Undefined property: HomeController::$Js in [/var/www/onlineschool/app/controllers/home_controller.php, line 10]
2010-10-23 17:28:52 Notice: Notice (8): Undefined property: View::$Js in [/var/www/onlineschool/app/views/home/index.ctp, line 20]
2010-10-23 17:28:54 Notice: Notice (8): Undefined property: View::$Js in [/var/www/onlineschool/app/views/home/index.ctp, line 20]
2010-10-23 17:28:55 Notice: Notice (8): Undefined property: View::$Js in [/var/www/onlineschool/app/views/home/index.ctp, line 20]
2010-10-23 17:31:29 Notice: Notice (8): Undefined property: View::$Js in [/var/www/onlineschool/app/views/home/index.ctp, line 20]
